TITLE     = "Periodic hill 513x257"
VARIABLES = "x corner"
"y corner"
ZONE T="I513_J257_g3.0_a0.5"
 I=513, J=257, K=1,F=POINT
DT=(SINGLE SINGLE )
 -1.164150026E-10  2.800000086E-02
  3.445284220E-04  2.800011479E-02
  6.890608665E-04  2.800006690E-02
  1.033594777E-03  2.799995758E-02
  1.378127721E-03  2.799988716E-02
  1.722657303E-03  2.799995603E-02
  2.067182264E-03  2.800021773E-02
  2.411710328E-03  2.800035130E-02
  2.756257932E-03  2.799985505E-02
  3.100834080E-03  2.799786410E-02
  3.445354214E-03  2.799261803E-02
  3.789971670E-03  2.798227958E-02
  4.134577991E-03  2.796625525E-02
  4.478927006E-03  2.794505408E-02
  4.823829301E-03  2.791896704E-02
  5.168326055E-03  2.788754393E-02
  5.512844455E-03  2.784996506E-02
  5.857878741E-03  2.780548596E-02
  6.201916404E-03  2.775383044E-02
  6.547174066E-03  2.769416703E-02
  6.891920540E-03  2.762628746E-02
  7.235459167E-03  2.754989547E-02
  7.581750038E-03  2.746352245E-02
  7.925608272E-03  2.736791712E-02
  8.270541207E-03  2.726158259E-02
  8.616260949E-03  2.714399690E-02
  8.958373407E-03  2.701632717E-02
  9.305530420E-03  2.687485373E-02
  9.649749933E-03  2.672293965E-02
  9.992723303E-03  2.656053607E-02
  1.033949938E-02  2.638561159E-02
  1.068209154E-02  2.620263178E-02
  1.102755271E-02  2.600834908E-02
  1.137263556E-02  2.580494467E-02
  1.171425452E-02  2.559486648E-02
  1.206152933E-02  2.537292764E-02
  1.240517434E-02  2.514541149E-02
  1.274914227E-02  2.491025645E-02
  1.309479747E-02  2.466693303E-02
  1.343738770E-02  2.441930965E-02
  1.378316558E-02  2.416337895E-02
  1.412761577E-02  2.390286718E-02
  1.447152093E-02  2.363764118E-02
  1.482058211E-02  2.336362343E-02
  1.516748195E-02  2.308687420E-02
  1.551727400E-02  2.280374799E-02
  1.586861092E-02  2.251569465E-02
  1.621837660E-02  2.222573462E-02
  1.657355398E-02  2.192850097E-02
  1.692768457E-02  2.162973686E-02
  1.728287244E-02  2.132804590E-02
  1.764079415E-02  2.102239842E-02
  1.799814533E-02  2.071608376E-02
  1.835827180E-02  2.040671741E-02
  1.871929002E-02  2.009635203E-02
  1.908077214E-02  1.978577384E-02
  1.944479935E-02  1.947364550E-02
  1.980939428E-02  1.916218146E-02
  2.017552048E-02  1.885107219E-02
  2.054320233E-02  1.854051734E-02
  2.091177450E-02  1.823101895E-02
  2.128230074E-02  1.792162326E-02
  2.165376370E-02  1.761315397E-02
  2.202647357E-02  1.730533343E-02
  2.240094494E-02  1.699770230E-02
  2.277618336E-02  1.669100703E-02
  2.315331005E-02  1.638425992E-02
  2.353164952E-02  1.607795989E-02
  2.391081267E-02  1.577237613E-02
  2.429229875E-02  1.546625752E-02
  2.467440674E-02  1.516091549E-02
  2.505810575E-02  1.485551629E-02
